palabra,primera N1,segunda N1,tercera N1,cuarta N1,quinta N1
amistades,"['amistades', 0]","['merece.', 1.934374882495149e-11]","['concierto,', 3.052846564433054e-08]","['Atentos', 6.905032723381055e-08]","['iguales,', 1.3256848940823573e-07]"
estafa,"['estafa', 0]","['YA', 9.992007221626409e-16]","['enriquecimiento', 1.9984014443252818e-15]","['ganaste', 8.659739592076221e-15]","['Súper', 4.440892098500626e-14]"
Centro,"['Centro', 0]","['aire', 6.317169010117141e-14]","['banda', 3.108735491252901e-12]","['adelante', 4.06241706940591e-12]","['Uno', 5.100919686640282e-12]"
trompa,"['trompa', 0]","['temblor', 3.4129233883462007e-09]","['ladrones,', 6.157160115094484e-09]","['candidatura.', 1.5743897741060664e-08]","['callaron', 2.7011381242836308e-08]"
contundentes,"['contundentes', 0]","['Falto', 3.0219279534282606e-07]","['fotos.', 3.0695603003838556e-07]","['mentir,', 3.131093028185816e-07]","['ignorante', 4.1080152379802115e-07]"
"será,","['será,', 0]","['solicito', 5.0016193964275146e-08]","['ahí,', 1.310102493157217e-07]","['puerca', 8.59708921718827e-07]","['padre,', 9.393012083691588e-07]"
procedencia,"['procedencia', 0]","['disfruta', 1.3322676295501878e-15]","['Serás', 6.772360450213455e-15]","['oriente', 1.0103029524088925e-14]","['estudia', 3.6637359812630166e-14]"
militarización?,"['militarización?', 0]","['militarización,', 5.456457229313649e-05]","['militarización.', 7.478501022439854e-05]","['panistas,', 0.00034590124188904614]","['TRAIDORA', 0.0003459246705004304]"
Actualmente,"['Actualmente', 0]","['abre', 7.66053886991358e-15]","['tendría', 1.2179146580137967e-13]","['barrio', 1.908473379330644e-13]","['Sigue', 3.7281289166912757e-13]"
morena!,"['morena!', 0]","['morena?', 0.00017616166648259934]","['morena,', 0.0005425474332279023]","['morena.', 0.0006254004264709678]","['clasismo!', 0.0006836077062086776]"
reconoces,"['reconoces', 0]","['fallida', 1.333521306379204e-06]","['Demuestra', 3.0560175970917314e-06]","['vara', 3.42338836467615e-06]","['gobernadora', 3.908979408495661e-06]"
fantasías,"['fantasías', 0]","['cínico', 7.094295296772302e-07]","['ANLO', 2.1221883984567924e-06]","['montajes', 2.1807441511478842e-06]","['priistas', 2.4564010252525748e-06]"
TENEMOS,"['TENEMOS', 0]","['Tamaulipas', 0.0002804010068598872]","['chismes,', 0.000590314316191054]","['chismes.', 0.0006022307774268265]","['chayote', 0.001028499713664477]"
defiendo,"['defiendo', 0]","['tacos', 2.8366488047382177e-09]","['gastarse', 1.0401335792664668e-08]","['ética,', 1.6640174016480103e-08]","['argumentar', 1.9702042108882267e-08]"
ERA,"['ERA', 0]","['CERO', 4.575620993207963e-09]","['quitan', 5.911537481750884e-08]","['Aja', 9.400363254474797e-08]","['Senadora', 1.4999374098323415e-07]"
independientemente,"['independientemente', 0]","['presupuesto.', 4.7564893468354796e-08]","['opinión.', 5.840317940375428e-08]","['existe,', 6.421860165861659e-08]","['adelante.', 7.91844799730157e-08]"
callo,"['callo', 0]","['tú,', 5.6983709084690304e-08]","['sí.', 7.793772183184444e-08]","['hace.', 3.443480254272657e-07]","['mucho.', 4.0599202377755716e-07]"
hipocritas,"['hipocritas', 0]","['Texcoco', 0.0003699069141157585]","['@genarolozano', 0.0009237087813044331]","['ineptas', 0.001399558333443518]","['hipócritas', 0.0022321594347209928]"
problemas.,"['problemas.', 0]","['nacional,', 3.0957281182963925e-09]","['gracias.', 3.47588083871031e-08]","['Haber', 6.213407444111141e-08]","['mañana,', 1.6764710308869724e-07]"
cantina,"['cantina', 0]","['ratero', 1.1511845876555071e-07]","['¿Nos', 3.6694372307355394e-07]","['¿Porque', 1.063853242277979e-06]","['terminen', 1.1620706300563555e-06]"
PUEDEN,"['PUEDEN', 0]","['PUEDES', 1.0458647503597263e-08]","['Téllez', 4.691220385533157e-05]","['Téllez,', 4.691220385533157e-05]","['Téllez.', 4.691220385533157e-05]"
pagos,"['pagos', 0]","['ayer', 1.0880185641326534e-14]","['directa', 4.318767565791859e-14]","['primeras', 9.725553695716371e-14]","['haz', 1.7263968032921184e-13]"
"drogas,","['drogas,', 0]","['contrario.', 2.6882442383246996e-08]","['ladras', 3.100876977413236e-08]","['públicos,', 1.211354855312763e-07]","['boca.', 1.7943877494985827e-07]"
amenazando,"['amenazando', 0]","['recuerden', 3.3306690738754696e-16]","['jodiendo', 6.661338147750939e-16]","['asesinaron', 2.55351295663786e-14]","['Siguen', 1.0258460747536446e-13]"
amantes,"['amantes', 0]","['agarrar', 2.220446049250313e-16]","['comprobado', 7.771561172376096e-16]","['sentada', 1.0436096431476471e-14]","['PRESIDENTE', 3.0753177782116836e-14]"
porro,"['porro', 0]","['se,', 3.145010607497056e-08]","['si?', 1.9598416012289732e-07]","['porra', 4.5350743083094613e-07]","['?,', 6.695526583166966e-07]"
paren,"['paren', 0]","['SEA', 1.4114875734883015e-07]","['SEP', 1.501142331550298e-07]","['tamal', 1.873559526410773e-07]","['sobretodo', 2.2149982692454273e-06]"
conservador,"['conservador', 0]","['Democracia', 1.1102230246251565e-15]","['balcón', 5.551115123125783e-15]","['hacerles', 3.019806626980426e-14]","['protegiendo', 7.027711745877241e-14]"
veneno.,"['veneno.', 0]","['nacos', 6.295670318401392e-09]","['ocurrencias', 2.553999012278041e-08]","['festeja', 2.6621820747863012e-08]","['Felicidades,', 2.8081602376772707e-08]"
política!,"['política!', 0]","['gente,', 7.399983004141575e-08]","['Estado,', 1.4172517570631982e-07]","['será?', 9.710449816457967e-07]","['derechos,', 9.892949053291744e-07]"
pelar,"['pelar', 0]","['hacerlo,', 2.019211797765763e-08]","['pueblo!', 7.304211679937112e-08]","['comparto', 2.698912888732252e-07]","['ello.', 3.639762454765716e-07]"
🤣😂🤣😂🤣,"['🤣', 0]","['vergüenza', 0]","['😂', 0]","['🤣🤣🤣', 0]","['😂😂😂', 0]"
🇲🇽.,"['vergüenza.', 0]","['….', 0]","['🇲🇽.', 0]","['vergüenza,', 1.5497183536439252e-09]","['“la', 1.041068609097806e-08]"
ANTES,"['ANTES', 0]","['mexicanas', 2.9238531040753912e-08]","['dedicas', 8.053173153887982e-07]","['cobardes', 1.9878640423742766e-06]","['secuestros', 2.461340800286038e-06]"
mms.,"['mms.', 0]","['mms,', 3.2043071973575366e-08]","['costando', 9.67613292146563e-06]","['cargando', 0.0003081367970542148]","['bocas.', 0.00038966249039518175]"
🤷🏼‍♂️,"['🤣', 0]","['vergüenza', 0]","['😂', 0]","['🤣🤣🤣', 0]","['😂😂😂', 0]"
terremoto,"['terremoto', 0]","['traición', 2.886579864025407e-15]","['llego', 8.459899447643693e-14]","['vial', 1.0669243266647754e-13]","['suyos', 1.4521717162097048e-13]"
"modo,","['modo,', 0]","['salud.', 7.351490860507681e-09]","['serio,', 4.192850466822051e-08]","['Col.', 1.2965852014268364e-07]","['derroche', 3.4489895117673086e-07]"
trabajo!,"['trabajo!', 0]","['dos.', 1.1459123117063541e-07]","['vez,', 2.1221306989449573e-07]","['esto.', 2.9165353299109853e-07]","['yo.', 5.529221819289276e-07]"
no???,"['no??', 0]","['no???', 0]","['???', 3.8768688170320864e-05]","['????', 3.8768688170320864e-05]","['?????', 3.8768688170320864e-05]"
inútil!,"['inútil!', 0]","['cae?', 2.9649032118328478e-09]","['ridículo,', 4.908453643537314e-09]","['saqueando', 1.0177239384567827e-08]","['Trío', 3.6266507130733316e-08]"
vacío,"['vacío', 0]","['pantalones', 1.8207657603852567e-14]","['viajar', 7.249756350802272e-14]","['conveniente', 7.283063041541027e-14]","['dejé', 2.0172752357439094e-13]"
cambiando,"['cambiando', 0]","['estudiando', 6.439293542825908e-15]","['tratamientos', 2.5646151868841116e-14]","['mama', 4.030109579389318e-14]","['Vive', 4.884981308350689e-14]"
titere,"['titere', 0]","['tweet', 4.3816687449460545e-06]","['tweets', 4.3816687449460545e-06]","['tweet,', 4.3816687449460545e-06]","['tweet.', 4.3816687449460545e-06]"
pidieron,"['pidieron', 0]","['alianzas', 2.1649348980190553e-14]","['tristeza', 9.403589018575076e-14]","['sacaste', 2.1760371282653068e-13]","['privilegio', 2.432498646953718e-13]"
$200,"['$200', 0]","[',pero', 2.4279959909279114e-07]","['¿Los', 3.4922500774525744e-06]","['Déjate', 7.46322809908051e-06]","['ESTAR', 7.626995108700463e-06]"
equivocada,"['equivocada', 0]","['humo', 2.4313884239290928e-14]","['hazlo', 3.3306690738754696e-14]","['Mario', 8.215650382226158e-14]","['fila', 9.781064846947629e-14]"
Pedro,"['Pedro', 0]","['efectivo', 1.3433698597964394e-14]","['Cara', 5.384581669432009e-14]","['tuve', 3.368416656712725e-13]","['familiar', 8.587575095475586e-13]"
podríamos,"['podríamos', 0]","['entró', 5.306866057708248e-14]","['destrucción', 5.3179682879545e-14]","['difusión', 9.43689570931383e-14]","['broma', 2.8843594179761567e-13]"
chingaderas,"['chingadera', 0]","['chingaderas', 0]","['@ArgosMediaGroup', 0.0007204772273573523]","['NINGUNA', 0.001446941835336113]","['Chihuahua', 0.0015663158964884794]"
mundo?,"['mundo?', 0]","['va.', 6.354984061207603e-08]","['sapos', 2.563320048443174e-07]","['forma,', 5.462568093417275e-07]","['personas?', 6.706626276553607e-07]"
venenosa,"['venenosa', 0]","['endeja', 8.157109543383001e-09]","['metro?', 5.555959958769563e-08]","['noticia.', 9.109197263157398e-08]","['oposición,', 1.331548034055885e-07]"
derechito,"['derechito', 0]","['REBSAMEN', 0.00042799335354593016]","['mugrero', 0.0030807199769169458]","['bananero', 0.0032809279800297686]","['bananera', 0.0033124936237527436]"
80%,"['80%', 0]","['mantenimiento?', 7.85741027797826e-09]","['violencia.', 1.5632551475519563e-08]","['pena!', 2.018653411095528e-08]","['lengua.', 2.6066925618017933e-08]"
promotora,"['promotora', 0]","['hoyos', 3.0663688699306135e-08]","['RATAS', 7.778776540678933e-07]","['Faltan', 2.7553454796658272e-06]","['presumes', 2.943698272805939e-06]"
divierte,"['divierte', 0]","['NADA', 6.357400973433514e-07]","['sapos', 9.33933023805622e-07]","['carnitas', 1.2086090430685204e-06]","['mundo?', 2.0761268668678667e-06]"
comparten,"['comparten', 0]","['prometió', 7.771561172376096e-16]","['estarían', 4.9960036108132044e-15]","['notar', 1.6542323066914832e-14]","['colonias', 1.1679546219056647e-13]"
impacto,"['impacto', 0]","['Alex', 1.4765966227514582e-14]","['placer', 1.4663825709249068e-12]","['intención', 1.7738033264436126e-12]","['áreas', 2.496669537777052e-12]"
causan,"['causan', 0]","['negligencia', 2.220446049250313e-16]","['Afortunadamente', 2.9976021664879227e-15]","['saludo', 2.4091839634365897e-14]","['mera', 6.561418075534675e-14]"
ineficiente,"['ineficiente', 0]","['asquerosas', 1.0879193224067052e-07]","['Panista', 1.4032210160497272e-07]","['repudia', 2.3037958107874346e-07]","['clase,', 6.494085169617136e-07]"
retire,"['retire', 0]","['entendió', 1.1102230246251565e-16]","['saluda', 3.3306690738754696e-16]","['desaparecen', 3.6637359812630166e-15]","['narrativa', 4.3298697960381105e-15]"
inmediatamente,"['inmediatamente', 0]","['resulta', 1.6986412276764895e-14]","['corte', 6.761258219967203e-14]","['fundamental', 4.2377212849942225e-13]","['caja', 6.080691505871982e-13]"
"tío,","['tío,', 0]","['violencia.', 7.278921854148024e-08]","['mantenimiento?', 1.4894344912974589e-07]","['80%', 1.535324810619798e-07]","['pena!', 1.6580762896012402e-07]"
MENTIRA,"['MENTIRAS', 0]","['MENTIR', 0]","['MENTIRA', 0]","['palabrería', 0.00016748728216053888]","['Nefasta', 0.0008102537165527446]"
"sueños,","['sueños,', 0]","['oposición.', 2.1373101288801877e-08]","['2018,', 4.518026552879917e-08]","['exhibe', 7.510517741060596e-08]","['bronca', 1.1096073104788218e-07]"
protegiendo,"['protegiendo', 0]","['gobernar', 6.8833827526759706e-15]","['hacerles', 8.43769498715119e-15]","['vacunas', 1.5432100042289676e-14]","['prometiste', 3.042011087472929e-14]"
gallos,"['gallos', 0]","['antoja', 9.994134075874683e-09]","['vulgaridad', 3.3837939672487494e-08]","['pendeja', 9.734268935357449e-08]","['contestaron', 1.061098073851241e-07]"
invitaron,"['invitaron', 0]","['senadoras', 6.050469014695636e-10]","['Secretaria,', 9.129523803608208e-09]","['tóxica', 3.09195439252008e-08]","['tonterías.', 3.739736720298481e-08]"
"construcción,","['construcción,', 0]","['foto,', 2.0629569752461663e-07]","['Tanta', 2.181023752712008e-07]","['tamales', 2.1934630156650314e-07]","['señora?', 3.4714685359649167e-07]"
🎉,"['🤣', 0]","['vergüenza', 0]","['😂', 0]","['🤣🤣🤣', 0]","['😂😂😂', 0]"
Cosas,"['Cosas', 0]","['absurdo', 5.218048215738236e-15]","['lavado', 3.5083047578154947e-14]","['exigen', 1.6209256159527285e-13]","['Instituciones', 1.7386092565629951e-13]"
TIGRES,"['TIGRES', 0]","['verborrea', 8.413351534397595e-05]","['Azteca,', 0.0004047175239789702]","['Tlalpan', 0.0008381875531067173]","['Tellez.', 0.0009391690402622555]"
mams,"['mams', 0]","['mamo', 5.141231884664421e-11]","['mame', 4.627651595257021e-10]","['Andas', 1.6532680779945963e-09]","['CUENTA', 2.1294767060808795e-09]"
perdidas,"['perdidas', 0]","['Veremos', 2.1094237467877974e-15]","['apellidos', 2.9976021664879227e-15]","['obsesión', 1.4210854715202004e-14]","['manada', 2.1538326677728037e-14]"
Dr,"['Dr', 0]","['crecimiento', 6.850076061937216e-14]","['color', 2.738920201750261e-13]","['Del', 1.0950129691877919e-12]","['señora', 2.4614754678964346e-12]"
gusta.,"['gusta.', 0]","['gobierno?', 7.615863850674032e-08]","['recursos.', 2.2802587362757976e-07]","['mandaste', 8.300322759113854e-07]","['recursos,', 1.68540215783608e-06]"
"derechos,","['derechos,', 0]","['será?', 7.4245596337618736e-09]","['vote', 1.941804872451769e-08]","['ahí?', 1.4895111766222158e-07]","['hablar,', 4.213613004067085e-07]"
ley?,"['ley?', 0]","['madre?', 1.6915590639321465e-07]","['bajo.', 8.449528177134624e-07]","['luego?', 1.067348243122268e-06]","['bajo,', 1.2304458076872749e-06]"
mañana.,"['mañana.', 0]","['humanos,', 5.072172704068123e-08]","['Mira,', 1.0016300100446074e-07]","['nacional.', 2.1219696555441203e-07]","['población,', 2.489639622238471e-07]"
mezcla,"['mezcla', 0]","['representan', 1.1324274851176597e-14]","['comprobar', 2.5646151868841116e-14]","['hable', 4.529709940470639e-14]","['HA', 4.529709940470639e-14]"
"tuya,","['tuya,', 0]","['comprenderás', 6.694141208019033e-08]","['perrada', 9.093200126208956e-08]","['insulta', 1.4761920841266374e-07]","['sorpresa.', 1.6656147328042437e-07]"
tragan,"['tragan', 0]","['¡Qué', 2.5308460882556005e-08]","['¿La', 4.7556337723353437e-07]","['¡Por', 7.144560875138595e-07]","['¿O', 3.1294087772248957e-06]"
reserva,"['reserva', 0]","['expertos', 1.8318679906315083e-14]","['próximo', 7.349676423018536e-14]","['muertos', 2.9332092310596636e-13]","['necesitas', 6.595834989298055e-13]"
secuestros,"['secuestros', 0]","['CASA', 3.417129179617007e-08]","['CASI', 9.596173955461751e-08]","['CASH', 1.5916181794750628e-07]","['cantan', 3.4136614168733814e-07]"
Ahhhh,"['Ahhhh', 0]","['no!!', 0.00016324539172207775]","['no!!!', 0.00016324539172207775]","['burlarse', 0.00018089342578953005]","['@JonBenjamin19', 0.00022651358884095973]"
hundiendo,"['hundiendo', 0]","['Terrible', 1.845405448452908e-07]","['hueca', 4.079394408940118e-07]","['voz,', 4.1600602229685535e-07]","['Tik', 4.5949289617652767e-07]"
resentidos,"['resentidos', 0]","['VERGUENZA', 0.00012787163076832808]","['resentida', 0.00035923026679229864]","['FELICIDADES', 0.0006062681664081859]","['borolas,', 0.0008848453884198193]"
Estan,"['Estan', 0]","['your', 2.6645352591003757e-15]","['borrar', 5.551115123125783e-15]","['MC', 7.105427357601002e-15]","['productivo', 2.1649348980190553e-14]"
gana.,"['gana.', 0]","['calles.', 1.900994917036769e-10]","['das,', 1.2266373472513692e-09]","['pluri', 1.2522788583879674e-08]","['insultar', 1.502578961254386e-08]"
gobiernas,"['gobiernas', 0]","['cáncer,', 2.3532885529142789e-07]","['pobres,', 2.4471986770358e-07]","['pack', 2.4921135122202287e-07]","['hablas,', 2.776453421615699e-07]"
necesarios,"['necesarios', 0]","['completa', 1.6764367671839864e-14]","['gusto', 6.7390537594747e-14]","['caja', 6.7390537594747e-14]","['prisión', 2.6911806116913795e-13]"
Movimiento,"['Movimiento', 0]","['Apoyo', 3.6637359812630166e-15]","['ahi', 1.432187701766452e-14]","['voces', 2.2537527399890678e-14]","['buscan', 5.762057497804562e-14]"
Gilberto,"['Gilberto', 0]","['sordos', 6.972118897774493e-07]","['racistas', 1.3669813557770638e-06]","['BLA', 1.3902497651985257e-06]","['educados', 1.9181090634701192e-06]"
atacas,"['atacas', 0]","['urnas', 1.4084743560349722e-06]","['Lázaro', 2.166957345117737e-06]","['fifi', 2.428857578506971e-06]","['Cartel', 2.5328021336923356e-06]"
cuadro,"['cuadro', 0]","['espíritu', 1.9206858326015208e-14]","['Muchas', 7.649436639667329e-14]","['pone', 3.0531133177191805e-13]","['Londres', 4.768407890765047e-13]"
ora,"['ora', 0]","['metiendo', 8.43769498715119e-15]","['hazme', 9.547918011776346e-15]","['espuma', 2.2315482794965646e-14]","['honestidad', 2.7644553313166398e-14]"
bodrio,"['bodrio', 0]","['COVID', 2.7147550256012565e-05]","['sexenios', 0.00020994369479054864]","['dedícate', 0.00023515559420650423]","['échele', 0.00035541068283651]"
dicta,"['dicta', 0]","['dictador', 5.773159728050814e-15]","['hablen', 6.772360450213455e-15]","['favores', 8.770761894538737e-15]","['ciegos', 1.787459069646502e-14]"
"ve,","['ve,', 0]","['bien,', 6.816903552753217e-08]","['tu.', 4.111457002964336e-06]","['panistas', 4.380734195064129e-06]","['bien.', 5.957053493488296e-06]"
"Bravo,","['Bravo,', 0]","['lástima.', 3.7306051581254e-09]","['Senado,', 4.400331210518971e-09]","['gasolina,', 1.3729678394192035e-08]","['parasito', 3.1035572556348257e-08]"
Aniversario,"['Aniversario', 0]","['cabeza,', 1.6232609317823332e-06]","['fecha,', 1.6290144961850217e-06]","['salud,', 1.8983238998515617e-06]","['derroche', 2.176493444694394e-06]"
metros,"['metros', 0]","['habría', 2.2926105458509483e-13]","['vino', 9.161560399206792e-13]","['nota', 2.059352688377203e-12]","['media', 2.8197444379429726e-12]"
despertó,"['despertó', 0]","['creyendo', 1.4210854715202004e-14]","['quedara', 3.497202527569243e-14]","['serías', 5.6621374255882984e-14]","['gobernante', 8.37108160567368e-14]"
españoles,"['españoles', 0]","['pata', 8.326672684688674e-15]","['permitido', 5.129230373768223e-14]","['mentira', 1.0058620603103918e-13]","['tantas', 2.0450308113595383e-13]"
cuna,"['cuna', 0]","['cumplió', 3.885780586188048e-15]","['acabará', 3.9968028886505635e-15]","['llenas', 1.8207657603852567e-14]","['bla', 6.827871601444713e-14]"
brindar,"['brindar', 0]","['justificar', 1.887379141862766e-15]","['declarar', 1.6986412276764895e-14]","['damos', 3.83026943495679e-14]","['cuantas', 1.2156942119645464e-13]"
infantil,"['infantil', 0]","['vestido', 5.551115123125783e-15]","['CD', 2.2537527399890678e-14]","['logró', 5.029310301551959e-14]","['usa', 8.926193117986259e-14]"
trabajar...,"['trabajar...', 0]","['México!!!', 2.5318324111678336e-05]","['México!!', 2.5318324111678336e-05]","['presidente...', 9.369107503265361e-05]","['PELIGRO', 0.0002156253295606536]"
ñora,"['ñora', 0]","['Deberás', 7.634150782309668e-06]","['burradas', 8.352738125716463e-06]","['farol', 8.762226502034842e-06]","['CHTM', 8.771293058207341e-06]"
porfa,"['porfa', 0]","['traicionó', 3.994304134669058e-06]","['Pobres', 4.388658245702004e-06]","['traiciona', 4.491547888285652e-06]","['callada', 4.515529799298257e-06]"
festeja,"['festeja', 0]","['Clau,', 1.0059290844743884e-08]","['nacos', 1.1441979141935121e-08]","['pozole', 1.643070257628665e-08]","['veneno.', 2.6621820747863012e-08]"
jalan,"['jalan', 0]","['revisen', 8.563502473801776e-08]","['Abrazos', 2.187382931451154e-07]","['lejos,', 2.8219704328869e-07]","['Loret', 4.286748713777655e-07]"
ciudadanos?,"['ciudadanos?', 0]","['lengua,', 9.797897937424693e-09]","['violencia,', 3.830983219543782e-08]","['entiendo,', 3.9325641854048854e-08]","['Triste', 1.2595654108604748e-07]"
ganaría,"['ganaría', 0]","['justicia,', 8.282871355458354e-08]","['diferente.', 9.413227164412064e-08]","['politico', 1.7796816120796422e-07]","['nula', 1.8968951420728075e-07]"
sana,"['sana', 0]","['cayendo', 7.771561172376096e-16]","['delincuentes', 1.554312234475219e-14]","['aborto', 5.5067062021407764e-14]","['Abraham', 6.872280522429719e-14]"
votara,"['votara', 0]","['MAMES', 2.0313453363840495e-08]","['votará', 3.517279678622032e-08]","['votaré', 3.8040741223710484e-08]","['votaste', 3.7945791175886256e-07]"
"hombre,","['hombre,', 0]","['ciudad,', 2.152584548387182e-07]","['países,', 3.8488011655513077e-07]","['caso.', 5.935637528153848e-07]","['col.', 8.570534726359824e-07]"
sentimiento,"['sentimiento', 0]","['paro', 6.694644838489694e-14]","['Oiga', 2.3525625891807067e-13]","['parada', 2.6756374893466273e-13]","['desapareció', 3.4061642395499803e-13]"
tuve,"['tuve', 0]","['aun', 2.1616042289451798e-13]","['Pedro', 3.368416656712725e-13]","['efectivo', 4.848343948538059e-13]","['Cara', 6.598055435347305e-13]"
serie,"['serie', 0]","['mayoría', 2.3292479056635784e-13]","['pueda', 9.300338277284936e-13]","['demás', 9.32254273777744e-13]","['contigo', 2.0911050668814823e-12]"
comunidades,"['comunidades', 0]","['imposible', 1.4876988529977098e-14]","['intervención', 1.3389289676979388e-13]","['salva', 2.3803181647963356e-13]","['encuentro', 2.3869795029440866e-13]"
Michoacán,"['Michoacán,', 0]","['Michoacán', 0]","['Ahhhh', 0.0005516383028114635]","['@maca_online', 0.0008106209323286429]","['denigrar', 0.0009169935488010372]"
honestamente,"['honestamente', 0]","['criticar', 2.220446049250313e-16]","['recetas', 1.5543122344752192e-15]","['tuberías', 1.3100631690576847e-14]","['antemano', 1.709743457922741e-14]"
"mundial,","['mundial,', 0]","['foto.', 2.4646512053472236e-08]","['adelantó', 2.1212430190153952e-07]","['construcción.', 3.6949518422702e-07]","['origen,', 6.62360615244495e-07]"
cerrado,"['cerrado', 0]","['mensajes', 1.2323475573339238e-14]","['comentarios', 2.7533531010703882e-14]","['ventaja', 4.884981308350689e-14]","['tendremos', 4.8960835385969403e-14]"
uy,"['uy', 0]","['ojala', 2.387082853605449e-08]","['@Reforma', 3.263875563153107e-07]","['pus', 4.1339349532432124e-07]","['marrana', 4.2614088602288547e-07]"
H,"['H', 0]","['-', 1.235622715256568e-11]","['(', 1.2399414828223598e-11]","['R', 1.9667156792024798e-10]","['mi', 3.067663900679918e-10]"
migajas,"['migajas', 0]","['NARCO', 2.8575315232481913e-05]","['lacayos', 7.325580743444693e-05]","['PRUEBAS', 0.0009510249037900653]","['MENOS', 0.001313393797156115]"
Bolivia,"['Bolivia', 0]","['asumir', 1.6653345369377348e-15]","['pudieran', 4.196643033083092e-14]","['vieron', 1.0691447727140257e-13]","['seguirá', 1.6719958750854857e-13]"
expresidentes,"['expresidentes', 0]","['bloquea', 5.8853504847355964e-08]","['costal', 6.381975226066317e-07]","['¿Cuánto', 1.0502715400706464e-06]","['luche', 1.5903024060959225e-06]"
transformando,"['transformando', 0]","['conservadora,', 2.947753291460131e-07]","['pedo,', 1.335341427877168e-06]","['Bocas,', 4.956524381372063e-06]","['Tabasco', 5.871389361034041e-06]"
milagro,"['milagro', 0]","['delincuencia', 6.661338147750939e-16]","['quedaron', 6.106226635438361e-15]","['disfrute', 3.341771304121721e-14]","['vivió', 5.551115123125783e-14]"
metrobus,"['metrobus', 0]","['inches', 2.174265212318005e-08]","['Bartlett', 1.493551333719978e-07]","['pierdan', 1.7484222747388145e-07]","['planas', 3.289101349057688e-07]"
PEJE,"['PEJE', 0]","['PAÍS', 3.325668815923333e-05]","['ESTÁN', 0.0006900441288916204]","['ESTÁS', 0.0006939026803063353]","['CLARO', 0.0012011086846437369]"
cárcel?,"['cárcel?', 0]","['popular,', 4.030787370545852e-08]","['licenciada', 5.6578856488798124e-08]","['cámara,', 6.366072813346335e-08]","['popular.', 4.4873337234907495e-07]"
ocasiones,"['ocasiones', 0]","['Bla', 1.0880185641326534e-14]","['cárcel', 9.803269307440132e-14]","['clases', 6.989964163039986e-13]","['haz', 1.834199458983221e-12]"
preso,"['preso', 0]","['apesta', 1.609823385706477e-14]","['decenas', 2.609024107869118e-14]","['Serán', 6.38378239159465e-14]","['novedad', 6.983302824892235e-14]"
secta.,"['secta.', 0]","['México...', 0.00011449170501698358]","['calle...', 0.00013235770836506067]","['señora!!', 0.00013998844113327635]","['alito?', 0.00014029156682249244]"
raya,"['raya', 0]","['entienda', 4.440892098500626e-16]","['valientes', 3.574918139293004e-14]","['Decir', 7.360778653264788e-14]","['odias', 9.758860386455126e-14]"
ENTRE,"['ENTRE', 0]","['compadre', 8.36579628904488e-08]","['CREE', 1.992680581652806e-07]","['destruyen', 5.260171201948438e-07]","['CREO', 5.95535680325554e-07]"
mal...,"['mal...', 0]","['favor...', 1.0849564575643456e-06]","['nada...', 2.1294612583266925e-06]","['12???', 2.8972095203472215e-05]","['12??', 2.8972095203472215e-05]"
vialidades,"['vialidades', 0]","['barbaridad', 4.006928921995723e-08]","['corrupción""', 7.855430694814203e-08]","['paleros', 8.147562002847053e-08]","['transformación,', 9.527205080406276e-08]"
creado,"['creado', 0]","['constante', 5.084821452783217e-14]","['soldados', 2.0372592501871623e-13]","['Adelante', 2.041700142285663e-13]","['piso', 4.579669976578771e-13]"
Obregón,"['Obregón', 0]","['está.', 0.00027908252754549334]","['está,', 0.0002827323762292222]","['hacer!', 0.0002857080448259719]","['eso!', 0.0002925949247002402]"
problema.,"['problema.', 0]","['madre.', 8.787245886487938e-08]","['gober', 4.611037761614867e-07]","['ley.', 4.797400612321923e-07]","['equipo,', 6.481248233658476e-07]"
Porfavor,"['Porfavor', 0]","['porfavor', 0.00012069838674466649]","['dedícate', 0.00023165148658632617]","['sexenios', 0.0003011359810669578]","['@julioastillero', 0.0004135360578162439]"
suyo.,"['suyo.', 0]","['insulto', 4.0887978891568366e-08]","['insulte', 4.272217168921344e-08]","['noticia,', 5.1005595413933236e-08]","['chole', 9.262864175685337e-08]"
#CartelInmobiliario,"['#CartelInmobiliario', 0]","['#ClaudiaSheinbaum', 0.00024376573421258652]","['#Linea12NoSeOlvida', 0.00027856329791808854]","['#Linea12', 0.00027856329791808854]","['#ConstrucciónDeLaPaz', 0.00028297320956838234]"
impuesto,"['impuesto', 0]","['viajes', 4.4853010194856324e-14]","['oscuro', 3.3806291099836017e-13]","['Uds', 4.042322032660195e-13]","['líderes', 8.064660050877137e-13]"
porros,"['porros', 0]","['ALGO', 3.0296838604559895e-06]","['Galvez', 3.9803852808217854e-06]","['chale', 4.460745696932555e-06]","['ardor', 5.173824090154433e-06]"
vidas.,"['vidas.', 0]","['recordemos', 3.1636640862586773e-08]","['Cuánta', 6.968858623501717e-08]","['mmes', 7.393496648244735e-08]","['memoria.', 1.8424460535015896e-07]"
inaugura,"['inaugura', 0]","['estados,', 8.649729821286201e-10]","['familiares.', 1.0830333185829488e-08]","['basura,', 3.2643828862255475e-08]","['entiende,', 3.7082403370192196e-08]"
mandas,"['mandas', 0]","['mandan', 1.0698220087590471e-11]","['revisa', 1.4030206774151566e-08]","['revise', 1.4816748716839356e-08]","['Lopez', 1.2880927846570245e-07]"
